Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,3/17/1972,30-40,9,31,44.9
LUTZ *,3/17/1972,30-40,10,30.2,43.3
LUTZ *,3/30/1972,0-10,1,32.6,48.4
LUTZ *,3/30/1972,0-10,2,40.9,69.1
LUTZ *,3/30/1972,0-10,3,37.5,60
LUTZ *,3/30/1972,0-10,4,38.3,62.2
LUTZ *,3/30/1972,0-10,5,31.1,45.1
LUTZ *,3/30/1972,0-10,6,36.8,58.1
LUTZ *,3/30/1972,0-10,7,35.5,55
LUTZ *,3/30/1972,0-10,8,32,47
LUTZ *,3/30/1972,0-10,9,32.3,47.6
LUTZ *,3/30/1972,0-10,10,23.2,30.3
LUTZ *,3/30/1972,0-5,1,31.9,46.8
LUTZ *,3/30/1972,0-5,2,38.3,62
LUTZ *,3/30/1972,0-5,3,37.6,60.3
LUTZ *,3/30/1972,0-5,4,30,42.9
LUTZ *,3/30/1972,0-5,5,30.7,44.2
LUTZ *,3/30/1972,0-5,6,33.3,50
LUTZ *,3/30/1972,0-5,7,35.5,55.1
LUTZ *,3/30/1972,0-5,8,34.7,53.2
LUTZ *,3/30/1972,0-5,9,28.3,39.5
LUTZ *,3/30/1972,0-5,10,35.9,56
LUTZ *,3/30/1972,30-40,1,26,35.2
LUTZ *,3/30/1972,30-40,2,41.3,70.2
LUTZ *,3/30/1972,30-40,3,28.8,40.5
LUTZ *,3/30/1972,30-40,4,37.6,60.2
LUTZ *,3/30/1972,30-40,5,30.5,43.9
LUTZ *,3/30/1972,30-40,6,31.7,46.4
LUTZ *,3/30/1972,30-40,7,35.4,54.8
LUTZ *,3/30/1972,30-40,8,32.6,48.4
